STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       3126;18810101;-999;-999;-999;    1;   0.0;   0;-999;-999;   3.0;   5.3; 1019.40;   -0.3;   86.00;    1.2;   -0.9;-999;eor
       3126;18810102;-999;-999;-999;    1;   0.0;   0;-999;-999;   4.3;   5.1; 1025.70;   -1.3;   88.00;    1.4;   -2.5;-999;eor
       3126;18810103;-999;-999;-999;    1;   0.0;   0;-999;-999;   4.0;   4.9; 1024.30;   -2.2;   92.00;   -0.1;   -3.1;-999;eor
       3126;18810104;-999;-999;-999;    1;   0.0;   0;-999;-999;   7.7;   4.8; 1016.80;   -2.8;   94.00;   -0.5;   -5.7;-999;eor
       3126;18810105;-999;-999;-999;    1;   0.0;   0;-999;-999;   7.3;   5.3; 1021.80;   -0.1;   87.00;    1.2;   -0.9;-999;eor
       3126;18810106;-999;-999;-999;    1;   0.0;   0;-999;-999;   1.3;   4.4; 1033.40;   -2.3;   82.00;    0.6;   -3.5;-999;eor
       3126;18810107;-999;-999;-999;    1;   0.7;   7;-999;-999;   2.7;   3.9; 1028.80;   -4.6;   87.00;   -2.1;   -7.0;-999;eor
       3126;18810108;-999;-999;-999;    1;   0.0;   0;-999;-999;   3.7;   4.8; 1019.30;   -1.2;   83.00;    1.0;   -3.4;-999;eor
       3126;18810109;-999;-999;-999;    1;   1.6;   7;-999;-999;   1.3;   3.5; 1018.10;   -5.8;   83.00;   -2.7;   -7.1;-999;eor
       3126;18810110;-999;-999;-999;    1;   0.3;   7;-999;-999;   6.3;   4.8; 1000.20;   -1.8;   88.00;    0.1;   -6.8;-999;eor
       3126;18810111;-999;-999;-999;    1;   0.3;   7;-999;-999;   8.0;   4.1; 1001.80;   -4.0;   92.00;   -1.8;   -5.2;-999;eor
       3126;18810112;-999;-999;-999;    1;   2.4;   7;-999;-999;   7.7;   3.5;  997.90;   -5.7;   88.00;   -3.8;   -8.5;-999;eor
       3126;18810113;-999;-999;-999;    1;   0.0;   0;-999;-999;   7.0;   2.9;  993.90;   -7.6;   88.00;   -3.6;   -8.6;-999;eor
       3126;18810114;-999;-999;-999;    1;   0.0;   0;-999;-999;   2.0;   1.2; 1004.20;  -16.8;   65.00;   -8.5;  -18.2;-999;eor
       3126;18810115;-999;-999;-999;    1;   0.3;   7;-999;-999;   0.3;   0.9; 1000.90;  -17.7;   59.00;  -14.6;  -21.1;-999;eor
       3126;18810116;-999;-999;-999;    1;   0.2;   7;-999;-999;   6.7;   2.4;  999.80;  -11.2;   80.00;   -5.9;  -20.4;-999;eor
       3126;18810117;-999;-999;-999;    1;   0.0;   0;-999;-999;   5.0;   3.3; 1004.70;   -6.7;   85.00;   -3.1;  -10.6;-999;eor
       3126;18810118;-999;-999;-999;    1;   2.3;   7;-999;-999;   7.7;   2.3; 1003.30;  -10.7;   78.00;   -7.5;  -14.9;-999;eor
       3126;18810119;-999;-999;-999;    1;   5.9;   7;-999;-999;   8.0;   3.9;  985.20;   -5.6;   92.00;   -2.8;   -8.9;-999;eor
       3126;18810120;-999;-999;-999;    1;   0.4;   7;-999;-999;   8.0;   2.9;  988.90;   -7.5;   87.00;   -3.8;   -8.7;-999;eor
       3126;18810121;-999;-999;-999;    1;   0.3;   7;-999;-999;   3.3;   2.0; 1014.00;  -11.8;   76.00;   -7.2;  -14.4;-999;eor
       3126;18810122;-999;-999;-999;    1;   0.1;   7;-999;-999;   7.7;   3.3; 1007.80;   -6.5;   87.00;   -4.6;  -15.2;-999;eor
       3126;18810123;-999;-999;-999;    1;   0.1;   7;-999;-999;   4.7;   3.3; 1013.10;   -7.3;   86.00;   -3.6;  -11.1;-999;eor
       3126;18810124;-999;-999;-999;    1;   0.0;   0;-999;-999;   0.3;   1.9; 1021.40;  -12.9;   83.00;   -8.4;  -15.8;-999;eor
       3126;18810125;-999;-999;-999;    1;   0.0;   0;-999;-999;   1.7;   1.7; 1013.40;  -14.4;   83.00;   -8.7;  -18.0;-999;eor
       3126;18810126;-999;-999;-999;    1;   0.0;   0;-999;-999;   0.0;   1.6; 1007.30;  -14.7;   84.00;   -9.6;  -17.4;-999;eor
       3126;18810127;-999;-999;-999;    1;   1.7;   1;-999;-999;   1.7;   2.3;  997.40;  -10.9;   84.00;   -6.0;  -16.4;-999;eor
       3126;18810128;-999;-999;-999;    1;   1.6;   1;-999;-999;   7.3;   5.5;  985.50;   -0.4;   90.00;    1.9;   -6.5;-999;eor
       3126;18810129;-999;-999;-999;    1;   1.7;   1;-999;-999;   7.0;   7.1;  986.40;    2.6;   94.00;    4.3;    1.2;-999;eor
       3126;18810130;-999;-999;-999;    1;   1.1;   1;-999;-999;   7.0;   6.9;  989.80;    2.8;   93.00;    4.0;    1.7;-999;eor
       3126;18810131;-999;-999;-999;    1;   1.6;   1;-999;-999;   7.0;   7.3;  998.00;    3.3;   90.00;    6.4;    2.0;-999;eor
